본부,노선,휴게소명,합계,대형,소형,장애인
수도권,서해안선,매송(목포),391,144,231,16
수도권,서해안선,매송(서울),393,127,250,16
수도권,수도권제1순환선,시흥하늘,682,22,643,17
수도권,영동선,안산,440,20,408,12
수도권,평택제천선,평택,735,181,534,20
수도권,서해안선,화성(목포),381,65,306,10
수도권,서해안선,화성(서울),373,51,307,15
서울경기,수도권제1순환선,구리(일산),149,21,122,6
서울경기,경부선,기흥(부산),433,68,344,21
서울경기,중부내륙,남한강(통합),425,55,335,11
서울경기,영동선,덕평,831,83,715,33
서울경기,중부선,마장,663,35,610,18
서울경기,중부내륙,서여주(창원),67,18,45,4
서울경기,중부내륙,서여주(양평),71,18,50,3
서울경기,경부선,서울만남(부산),262,2,253,7
서울경기,경부선,안성(부산),351,41,298,12
서울경기,경부선,안성(서울),348,123,208,17
서울경기,영동선,여주(강릉),403,82,302,19
서울경기,영동선,여주(인천),246,12,229,5
서울경기,영동선,용인(강릉),298,38,248,12
서울경기,영동선,용인(인천),168,29,132,7
서울경기,중부선,이천(남이),126,12,110,4
서울경기,중부선,이천쌀(하남),238,78,149,11
서울경기,경부선,죽전(서울),223,68,147,8
서울경기,세종포천선,처인,513,67,20,600
서울경기,중부선,하남드림,725,24,680,21
강원,동해선,구정(삼척),241,56,177,8
강원,동해선,구정(속초),150,38,106,6
강원,동해선,동해(삼척),103,12,87,4
강원,동해선,옥계(속초),156,39,107,10
강원,서울양양선,홍천(양양),213,28,178,7
강원,서울양양선,홍천(서울),255,35,213,7
강원,서울양양선,내린천,555,52,489,14
강원,영동선,강릉(강릉),244,46,192,6
강원,영동선,강릉(인천),274,43,225,6
강원,영동선,문막(강릉),246,19,222,5
강원,영동선,문막(인천),213,32,167,14
강원,영동선,평창(강릉),196,13,175,8
강원,영동선,평창(인천),230,13,203,14
강원,영동선,횡성(강릉),291,33,251,7
강원,영동선,횡성(인천),243,25,209,9
강원,중앙선,원주(부산),163,30,127,6
강원,중앙선,원주(춘천),141,16,119,6
강원,중앙선,춘천(부산),98,9,83,6
강원,중앙선,홍천강(춘천),127,26,96,5
충북,당진영덕선,속리산(청주),189,51,128,10
충북,당진영덕선,화서(영덕),225,54,162,9
충북,중부내륙선,괴산(창원),176,27,144,5
충북,중부내륙선,괴산(양평),189,33,150,6
충북,중부내륙선,충주(창원),261,52,200,9
충북,중부내륙선,충주(양평),237,66,163,8
충북,중부내륙선,문경(창원),272,131,133,8
충북,중부내륙선,문경(양평),301,102,193,6
충북,중부내륙선,선산(양평),192,53,133,6
충북,중부내륙선,선산(창원),258,63,189,6
충북,중부선,오창(남이),134,26,104,4
충북,중부선,오창(하남),148,43,99,6
충북,중부선,음성(남이),333,105,216,12
충북,중부선,음성(하남),248,160,80,8
충북,중앙선,단양팔경(부산),141,27,109,5
충북,중앙선,단양팔경(춘천),139,30,105,4
충북,중앙선,치악(부산),154,33,114,7
충북,중앙선,치악(춘천),149,40,103,6
충북,평택제천선,금왕(제천),83,37,42,4
충북,평택제천선,금왕(평택),112,51,57,4
충북,평택제천선,안성맞춤(제천),173,67,101,5
충북,평택제천선,안성맞춤(평택),171,58,107,6
충북,평택제천선,천등산(제천),122,44,75,3
충북,평택제천선,천등산(평택),110,26,81,3
충북,당진영덕선,문의청남대(청주),148,39,102,7
충북,당진영덕선,문의청남대(영덕),150,39,104,7
대전충남,경부선,금강(부산),314,40,264,10
대전충남,경부선,망향(부산),329,68,246,15
대전충남,경부선,신탄진(서울),335,196,127,12
대전충남,경부선,옥산(부산),240,108,121,11
대전충남,경부선,옥천만남,212,112,95,5
대전충남,경부선,옥천(부산),177,96,77,4
대전충남,경부선,옥천(서울),147,44,99,4
대전충남,경부선,입장거봉포도(서울),350,198,140,12
대전충남,경부선,죽암(부산),276,30,238,8
대전충남,경부선,죽암(서울),206,21,171,14
대전충남,경부선,천안호두(부산),224,55,160,9
대전충남,경부선,천안삼거리(서울),271,23,236,12
대전충남,경부선,청주(서울),280,139,130,11
대전충남,경부선,황간(부산),119,54,61,4
대전충남,경부선,황간(서울),118,35,79,4
대전충남,당진영덕선,공주(당진),187,44,139,4
대전충남,당진영덕선,공주(대전),197,45,146,6
대전충남,당진영덕선,예산(당진),187,47,132,8
대전충남,당진영덕선,예산(대전),201,44,149,8
대전충남,서천공주선,부여백제(공주),90,30,57,3
대전충남,서천공주선,부여백제(서천),99,36,60,3
대전충남,서해안선,서산(목포),235,67,160,8
대전충남,서해안선,서산(서울),197,65,125,7
대전충남,서해안선,행담도,615,67,528,20
전북,대전통영선,덕유산(통영),207,51,149,7
전북,대전통영선,덕유산(대전),190,41,143,6
전북,대전통영선,금산인삼랜드(통영),237,34,197,6
전북,대전통영선,금산인삼랜드(대전),153,38,110,5
전북,서해안선,고창고인돌(목포),294,84,202,8
전북,서해안선,고창고인돌(서울),259,74,178,7
전북,서해안선,군산(목포),151,38,108,5
전북,서해안선,군산(서울),204,33,163,8
전북,서해안선,대천(목포),133,35,90,8
전북,서해안선,대천(서울),204,46,150,8
전북,서해안선,서천(목포),152,36,111,5
전북,서해안선,서천(서울),197,40,151,6
전북,서해안선,홍성(목포),144,27,109,8
전북,서해안선,홍성(서울),157,29,120,8
전북,익산장수선,진안마이산(익산),83,24,55,4
전북,익산장수선,진안마이산(장수),84,24,55,5
전북,호남선,익산미륵사지(순천),222,62,152,8
전북,호남선,익산미륵사지(천안),190,8,180,2
전북,호남선,이서(순천),163,41,117,5
전북,호남선,이서(천안),156,45,104,7
전북,호남선,정읍녹두장군(순천),133,25,101,7
전북,호남선,정읍녹두장군(천안),168,35,127,6
전북,호남지선,벌곡(논산),133,36,93,4
전북,호남지선,벌곡(대전),149,50,94,5
전북,서해안선,부안고려청자(서울),157,32,121,4
전북,서해안선,부안고려청자(목포),158,32,122,4
광주전남,광주대구선,강천산(광주),95,25,68,2
광주전남,광주대구선,강천산(대구),70,16,52,2
광주전남,광주대구선,지리산(광주),145,46,95,4
광주전남,광주대구선,지리산(대구),107,31,73,3
광주전남,남해선,보성녹차(순천),104,42,59,3
광주전남,남해선,보성녹차(영암),125,42,80,3
광주전남,무안광주선,함평나비(광주),131,42,81,8
광주전남,무안광주선,함평나비(무안),132,44,80,8
광주전남,서해안선,함평천지(목포),101,40,53,8
광주전남,서해안선,함평천지(서울),104,56,41,7
광주전남,순천완주선,오수(순천),216,94,116,6
광주전남,순천완주선,오수(완주),183,57,120,6
광주전남,순천완주선,황전(순천),154,54,98,2
광주전남,순천완주선,황전(완주),121,24,93,4
광주전남,순천완주선,춘향(완주),180,63,111,6
광주전남,순천완주선,춘향(순천),154,18,130,6
광주전남,호남선,곡성(순천),140,11,125,4
광주전남,호남선,곡성(천안),110,21,84,5
광주전남,호남선,백양사(순천),73,25,45,3
광주전남,호남선,백양사(천안),102,16,82,4
광주전남,호남선,섬진강(부산),135,27,102,6
광주전남,호남선,섬진강(순천),187,47,136,4
광주전남,호남선,순천(순천),44,12,30,2
광주전남,호남선,주암(순천),99,26,69,4
광주전남,호남선,주암(천안),124,20,100,4
광주전남,남해선,장흥정남진,100,24,70,6
대구경북,경부선,건천(부산),120,43,73,4
대구경북,경부선,건천(서울),96,23,69,4
대구경북,경부선,경산(서울),253,62,183,8
대구경북,경부선,김천(부산),188,72,109,7
대구경북,경부선,김천(서울),176,64,105,7
대구경북,경부선,추풍령(부산),213,88,120,5
대구경북,경부선,추풍령(서울),160,60,95,5
대구경북,경부선,칠곡(부산),334,128,195,11
대구경북,경부선,칠곡(서울),231,65,158,8
대구경북,경부선,평사(부산),243,66,170,7
대구경북,광주대구선,거창(광주),107,26,78,3
대구경북,광주대구선,거창(대구),94,22,69,3
대구경북,광주대구선,논공(광주),113,34,75,4
대구경북,광주대구선,논공(대구),160,21,132,7
대구경북,대구포항선,영천(대구),298,98,193,7
대구경북,대구포항선,영천(포항),266,95,163,8
대구경북,대구포항선,와촌(포항),141,52,82,7
대구경북,대구포항선,청통(대구),158,68,83,7
대구경북,상주영덕선,의성(청주),67,19,46,2
대구경북,상주영덕선,의성(영덕),72,20,50,2
대구경북,상주영덕선,청송(청주),75,11,62,2
대구경북,상주영덕선,청송(영덕),80,11,67,2
대구경북,중부내륙선,남성주참외(양평),139,38,98,3
대구경북,중부내륙선,남성주참외(창원),147,49,95,3
대구경북,중부내륙선,성주(양평),224,110,108,6
대구경북,중부내륙선,성주(창원),213,107,100,6
대구경북,중앙선,군위(부산),157,63,88,6
대구경북,중앙선,군위(춘천),154,64,84,6
대구경북,중앙선,동명(부산),165,48,110,7
대구경북,중앙선,동명(춘천),140,39,91,10
대구경북,중앙선,안동(부산),182,71,104,7
대구경북,중앙선,안동(춘천),129,74,50,5
부산경남,경부선,경주(부산),294,142,146,6
부산경남,경부선,양산(서울),170,33,130,7
부산경남,경부선,언양(서울),225,72,144,9
부산경남,경부선,통도사(부산),251,30,215,6
부산경남,남해선,문산(순천),232,46,179,7
부산경남,남해선,사천(부산),172,45,120,4
부산경남,남해선,사천(순천),183,45,134,4
부산경남,남해선,장유(서부산),107,43,60,4
부산경남,남해선,서부산(순천),130,17,109,4
부산경남,남해선,진영(부산),602,53,520,29
부산경남,남해선,진영(순천),433,68,355,10
부산경남,남해선,진주(부산),199,38,154,7
부산경남,남해선,함안(부산),281,68,206,7
부산경남,남해선,함안(순천),272,58,207,7
부산경남,대전통영선,고성공룡나라(통영),161,51,106,4
부산경남,대전통영선,고성공룡나라(대전),148,55,89,4
부산경남,대전통영선,산청(통영),130,45,82,3
부산경남,대전통영선,산청(대전),170,34,132,4
부산경남,대전통영선,함양(통영),117,27,86,4
부산경남,대전통영선,함양(대전),91,29,58,4
부산경남,부산외곽선,김해금관가야,359,46,296,17
부산경남,울산포항선,외동(부산),76,27,46,3
부산경남,울산포항선,외동(포항),73,21,49,3
부산경남,중부내륙지선,영산(창원),136,31,99,6
부산경남,중부내륙지선,칠서(양평),128,24,99,5
부산경남,중부내륙지선,현풍(대구),131,52,75,4
부산경남,중부내륙지선,현풍(창원),91,13,74,4
부산경남,함양울산선,울주(함양),166,40,120,6
부산경남,함양울산선,울주(울산),159,43,110,6
부산경남,함양울산선,밀양영남루(함양),112,34,72,6
부산경남,함양울산선,밀양영남루(울산),118,82,30,6
