노선,시설명,남자_변기수,여자_변기수
경부선,서울(만남),17,34
경부선,죽전(서울),37,57
경부선,기흥(부산),29,45
경부선,안성(서울),42,66
경부선,안성(부산),46,71
경부선,입장거봉포도(서울),25,39
경부선,망향(부산),39,59
경부선,천안삼거리(서울),49,79
경부선,천안호두(부산),39,39
경부선,청주(서울),37,37
경부선,옥산(부산),41,61
경부선,죽암(서울),26,43
경부선,죽암(부산),26,51
경부선,신탄진(서울),38,57
경부선,옥천만남(서울),7,7
경부선,옥천(서울),24,24
경부선,옥천(부산),16,16
경부선,금강(부산),82,52
경부선,황간(서울),27,30
경부선,황간(부산),27,30
경부선,추풍령(서울),22,24
경부선,추풍령(부산),17,23
경부선,김천(서울),22,24
경부선,김천(부산),19,23
경부선,칠곡(서울),28,40
경부선,칠곡(부산),33,57
경부선,경산(서울),26,28
경부선,평사(부산),23,41
경부선,건천(서울),20,20
경부선,건천(부산),19,31
경부선,경주(부산),27,27
경부선,언양(서울),28,31
경부선,통도사(부산),26,28
경부선,양산(서울),21,21
서해안선,화성(서울),32,40
서해안선,화성(목포),38,50
서해안선,매송(서울),24,41
서해안선,매송(목포),35,54
서해안선,행담도,110,70
서해안선,서산(서울),29,24
서해안선,서산(목포),37,49
서해안선,홍성(서울),26,26
서해안선,홍성(목포),26,26
서해안선,대천(서울),38,26
서해안선,대천(목포),27,25
서해안선,서천(서울),34,34
서해안선,서천(목포),34,34
서해안선,군산(서울),25,40
서해안선,군산(목포),18,24
서해안선,고창고인돌(서울),27,27
서해안선,고창고인돌(목포),27,27
서해안선,부안고려청자(서울),16,24
서해안선,부안고려청자(목포),16,24
서해안선,함평천지(서울),22,22
서해안선,함평천지(목포),20,20
호남지선,벌곡(대전),19,29
호남지선,벌곡(논산),23,24
호남선,여산(천안),39,39
호남선,여산(순천),38,44
호남선,이서(천안),16,19
호남선,이서(순천),17,20
호남선,정읍녹두장군(천안),36,37
호남선,정읍녹두장군(순천),25,32
호남선,백양사(천안),24,30
호남선,백양사(순천),24,30
호남선,곡성기차마을(천안),22,27
호남선,곡성기차마을(순천),18,24
호남선,주암(천안),20,20
호남선,주암(순천),17,20
호남선,순천(순천),12,12
중부선,하남드림,20,30
중부선,이천(하남),27,45
중부선,이천(통영),26,27
중부선,마장,70,82
중부선,음성(하남),30,40
중부선,음성(남이),30,37
중부선,오창(하남),33,44
중부선,오창(남이),22,23
대전통영선,금산인삼랜드(하남),32,54
대전통영선,금산인삼랜드(통영),31,49
대전통영선,덕유산(하남),41,26
대전통영선,덕유산(통영),23,24
대전통영선,함양(대전),18,22
대전통영선,함양(통영),16,20
대전통영선,산청(대전),21,27
대전통영선,산청(통영),21,27
